Index,Series Name,Network,Season,Title,IMDB,Engagement,Date Aired,Run Time,Format
508,"Be Cool, Scooby-Doo!",Cartoon Network,1,Kitchen Frightmare,7.5,NULL,10/21/2015,22 mins,TV Series
509,"Be Cool, Scooby-Doo!",Cartoon Network,1,"Me, Myself, and A.I.",7.5,72,10/22/2015,22 mins,TV Series
510,"Be Cool, Scooby-Doo!",Cartoon Netwrk,1,Area 51 Adjacent,7.4,71,10/23/2015,22 mins,TV Series
511,"Be Cool, Scooby-Doo!",Cartoon Network,1,"Where There's a Will, There's a Wraith",7.5,81,10/28/2015,22 mins,TV Series
512,Lego,Cartoon Network,Special,Scooby-Doo! Knight Time Terror,6.6,288,11/25/2015,22 mins,TV Series
513,"Be Cool, Scooby-Doo!",Cartoon Network ,1,Scary Christmas,7.4,75,12/5/2015,22 mins,TV Series
514,"Be Cool, Scooby-Doo!",Cartoon Network,1,"If You Can't Scooby-Doo the Time,Don't Scooby-Doo the Crime",7.7,72,12/10/2015,24 mins,TV Series
515,"Be Cool, Scooby-Doo!",Cartoon Network,1,Gremlin on a Plane,7.8,66,2/13/2016,22 mins,TV Series
516,"Be Cool, Scooby-Doo!",Cartoon Network,1,Sorcerer Snacks Scare,7.9,67,2/20/2016,22 mins,TV Series
517,"Be Cool, Scooby-Doo!",Cartoon Network,1,Saga of the Swamp Beast,8.2,67,2/27/2016,22 mins,TV Series
